이벤트명,홈팀,어웨이팀,이벤트ID,시작일시(서울),종료일시(서울),장비명,스튜디오URL
제58회 대통령배 전국중고배구대회_15세이하 남자부,문일중,대연중,688adf9702af94f20b2fd6da,2025-08-01 14:12,2025-08-01 15:12,PXLP_0159_충무체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adf9702af94f20b2fd6da
제58회 대통령배 전국중고배구대회_15세이하 남자부,문일중,대연중,688adf987d15485f1a6ef25d,2025-08-01 14:12,2025-08-01 15:12,KY2024A0006_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adf987d15485f1a6ef25d
제58회 대통령배 전국중고배구대회_18세이하 여자부,한봄고,대구여고,688b4366113b3861f93f1530,2025-08-01 14:03,2025-08-01 15:23,PXLS1_32838_통영중,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b4366113b3861f93f1530
제58회 대통령배 전국중고배구대회_18세이하 여자부,한봄고,대구여고,688b4368a8a48bcff3fca7b9,2025-08-01 14:03,2025-08-01 15:23,KY2024A0009_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b4368a8a48bcff3fca7b9
제58회 대통령배 전국중고배구대회_18세이하 남자부,속초고,광주전자공고,688add4322b54f1e04c548b6,2025-08-01 13:43,2025-08-01 15:01,PXLS1_32823(통영체육관),https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688add4322b54f1e04c548b6
제58회 대통령배 전국중고배구대회_18세이하 남자부,속초고,광주전자공고,688add449c413fe7c4c665a8,2025-08-01 13:43,2025-08-01 15:01,KY2024A0007_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688add449c413fe7c4c665a8
제58회 대통령배 전국중고배구대회_15세이하 여자부,강릉해람중,천안봉서중,688b423bdfdb70287eeedc68,2025-08-01 13:16,2025-08-01 14:45,PXLS1_32548_동원고체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b423bdfdb70287eeedc68
제58회 대통령배 전국중고배구대회_15세이하 여자부,강릉해람중,천안봉서중,688b423c2ff398d69d2464f0,2025-08-01 13:16,2025-08-01 14:45,KY2024A0008_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b423c2ff398d69d2464f0
제58회 대통령배 전국중고배구대회_15세이하 남자부,문흥중,대전남선중,688adf6602af94f20b2fd6d9,2025-08-01 12:36,2025-08-01 14:02,PXLP_0159_충무체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adf6602af94f20b2fd6d9
제58회 대통령배 전국중고배구대회_15세이하 남자부,문흥중,대전남선중,688adf68f02ef342b7aa6d42,2025-08-01 12:36,2025-08-01 14:02,KY2024A0006_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adf68f02ef342b7aa6d42
제58회 대통령배 전국중고배구대회_18세이하 여자부,포항여고,전주근영여고,688b433dccdfba254121611a,2025-08-01 12:32,2025-08-01 13:57,PXLS1_32838_통영중,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b433dccdfba254121611a
제58회 대통령배 전국중고배구대회_18세이하 여자부,포항여고,전주근영여고,688b433e2ff398d69d2464f4,2025-08-01 12:32,2025-08-01 13:57,KY2024A0009_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b433e2ff398d69d2464f4
제58회 대통령배 전국중고배구대회_15세이하 여자부,포항여중,부평여중,688b41f3dfdb70287eeedc67,2025-08-01 11:46,2025-08-01 13:06,PXLS1_32548_동원고체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b41f3dfdb70287eeedc67
제58회 대통령배 전국중고배구대회_15세이하 여자부,포항여중,부평여중,688b41f42ff398d69d2464ef,2025-08-01 11:46,2025-08-01 13:06,KY2024A0008_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b41f42ff398d69d2464ef
제58회 대통령배 전국중고배구대회_15세이하 남자부,현일중,경북사대부중,688adf3022b54f1e04c548e3,2025-08-01 11:33,2025-08-01 12:26,PXLP_0159_충무체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adf3022b54f1e04c548e3
제58회 대통령배 전국중고배구대회_15세이하 남자부,현일중,경북사대부중,688adf3102af94f20b2fd6d7,2025-08-01 11:33,2025-08-01 12:26,KY2024A0006_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adf3102af94f20b2fd6d7
제58회 대통령배 전국중고배구대회_18세이하 남자부,성지고,문일고,688add097d15485f1a6ef22d,2025-08-01 10:57,2025-08-01 13:33,PXLS1_32823(통영체육관),https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688add097d15485f1a6ef22d
제58회 대통령배 전국중고배구대회_18세이하 남자부,성지고,문일고,688add0ad235bed1c56323fc,2025-08-01 10:57,2025-08-01 13:33,KY2024A0007_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688add0ad235bed1c56323fc
2025-08-01 서천농구,HOME_TEAM,AWAY_TEAM,688c1bd1a2ec03d9380e7c56,2025-08-01 10:45,2025-08-01 13:45,PXLS1_32815(PEC서천_농구),https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688c1bd1a2ec03d9380e7c56
제58회 대통령배 전국중고배구대회_18세이하 여자부,경남여고,광주체육고,688b42d9113b3861f93f152e,2025-08-01 10:44,2025-08-01 12:26,PXLS1_32838_통영중,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b42d9113b3861f93f152e
제58회 대통령배 전국중고배구대회_18세이하 여자부,경남여고,광주체육고,688b42db4d9ffa914552ed25,2025-08-01 10:44,2025-08-01 12:26,KY2024A0009_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b42db4d9ffa914552ed25
제58회 대통령배 전국중고배구대회_15세이하 여자부,HOME_TEAM,중앙여중,688b41cc70cf409837c3d62e,2025-08-01 10:30,2025-08-01 11:40,PXLS1_32548_동원고체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b41cc70cf409837c3d62e
